state,year,tree_cover_loss_ha,co2_emissions_Mg
Goa,2001,6.840546978715279,3898.5604974199887
Goa,2002,5.200426087369792,2545.5739845479206
Goa,2003,10.622793045837131,5614.7141071673
Goa,2004,13.529992794208441,7237.682016626808
Goa,2005,38.996461899468855,21617.72215614027
Goa,2006,29.5766366941786,16552.359926161887
Goa,2007,54.635165652629674,31204.987668316
Goa,2008,69.56244274777237,39673.1328008229
Goa,2009,61.766470900647775,36244.18514043732
Goa,2010,5.2708685285611985,2649.1136908399053
Goa,2011,112.4449402299414,65475.13063818493
Goa,2012,34.698399284307726,19860.980952864174
Goa,2013,18.502775113297524,9737.227350787132
Goa,2014,24.373877708402777,12864.946349592066
Goa,2015,11.524018204896919,6406.531901458501
Goa,2016,80.83746874918242,41853.61446176586
Goa,2017,60.387163636221246,31693.35600355185
Goa,2018,50.43867339806695,27562.056644963417
Goa,2019,41.57583064388401,22274.677000842355
Goa,2020,59.397426309181846,32572.687226153652
Goa,2021,28.351507513702245,15984.290815904373
Goa,2022,23.750751901461587,14301.42312074827
Goa,2023,78.25261505988173,42678.837493727864
Goa,2024,35.1896444555051,21800.374358011464
Goa,2025,35.20502959224718,25228.75045168582
Karnataka,2001,1751.1392246776932,1070234.9098897027
Karnataka,2002,1008.3034757239814,584657.7410769296
Karnataka,2003,1227.1502762381256,700997.7712255212
Karnataka,2004,1380.90751997971,792813.4751569945
Karnataka,2005,2245.7060249365786,1282953.2371159983
Karnataka,2006,1130.4667321867855,639843.8408421617
Karnataka,2007,4145.406390290022,2434636.707172027
Karnataka,2008,2455.31276594416,1423284.5168051212
Karnataka,2009,2285.720063387032,1393987.083211456
Karnataka,2010,898.173849785976,570707.5516834001
Karnataka,2011,1744.9294063215095,1031346.8821522496
Karnataka,2012,2546.46171232206,1566950.4508697237
Karnataka,2013,2118.7483445918892,1216246.7899914207
Karnataka,2014,2229.815251102212,1316444.8092178078
Karnataka,2015,1479.9073471151637,875964.2261306887
Karnataka,2016,3310.4310827383674,2005666.3625930916
Karnataka,2017,3060.364108854852,1881405.8043343092
Karnataka,2018,3537.427542945288,2235428.3265559934
Karnataka,2019,2411.557742359558,1556295.1973365524
Karnataka,2020,2618.9902802118722,1734722.7822366715
Karnataka,2021,2537.233677044441,1775310.166110288
Karnataka,2022,2985.23931995625,2138063.4168992504
Karnataka,2023,5020.889352382896,3808398.8616174185
Karnataka,2024,3248.346527282504,2493198.3137337673
Karnataka,2025,3546.9731996298906,2704717.1407216834
Kerala,2001,744.3184199823356,416151.4390715491
Kerala,2002,1030.5991905045012,562233.9440577787
Kerala,2003,1778.4504054765252,987308.0598334695
Kerala,2004,1579.945850996441,896799.9813208154
Kerala,2005,1458.1402092255553,839202.927511728
Kerala,2006,1884.6052747713336,1082184.9316644047
Kerala,2007,4344.389229525851,2555245.5659430935
Kerala,2008,3075.660734225239,1807032.7034590724
Kerala,2009,1047.924105367544,624823.6234494095
Kerala,2010,204.09965080456217,119293.48673633963
Kerala,2011,4909.495175878656,2959019.276745545
Kerala,2012,3787.278384525888,2282394.8591334964
Kerala,2013,2799.6632538021536,1679540.4991645457
Kerala,2014,3822.628751460904,2303481.0529759726
Kerala,2015,2709.8948796066593,1660107.0923740235
Kerala,2016,7186.645522477656,4520748.220640965
Kerala,2017,9722.051934830803,6124945.744496753
Kerala,2018,6273.2135411400395,4048367.928925717
Kerala,2019,7418.4261395583635,4784668.652502832
Kerala,2020,6849.704708596054,4519698.787661154
Kerala,2021,5298.669953080102,3499330.5232807803
Kerala,2022,6467.641583770232,4298021.445080954
Kerala,2023,12375.161009592712,8313222.2322511375
Kerala,2024,10203.377861977822,6853258.990305417
Kerala,2025,10172.63428965024,6886115.547634335
Maharashtra,2001,953.8535808275848,484916.20205403486
Maharashtra,2002,687.9743640482445,326755.21641751105
Maharashtra,2003,518.9888871467708,233956.029565837
Maharashtra,2004,1546.5252663590463,735084.2838998322
Maharashtra,2005,887.4431925791198,435039.92272876087
Maharashtra,2006,808.9942411276461,375663.6759749373
Maharashtra,2007,842.1684797089995,403400.0742725327
Maharashtra,2008,940.4340902447784,450314.32618439826
Maharashtra,2009,1599.2610318731445,772275.3753548296
Maharashtra,2010,422.87509015240073,204925.80740686983
Maharashtra,2011,2021.6534890908276,992063.841398857
Maharashtra,2012,1223.1942964755435,582400.0443097873
Maharashtra,2013,465.5286468076556,211291.29131012928
Maharashtra,2014,827.9524296760384,400178.0883941497
Maharashtra,2015,394.87716046687456,192700.1841335592
