iso,adm1,year,tree_cover_loss_ha,co2_emissions_Mg,state
IND,16,2001,1751.1392246776932,1070234.9098897027,Karnataka
IND,16,2002,1008.3034757239814,584657.7410769296,Karnataka
IND,16,2003,1227.1502762381256,700997.7712255212,Karnataka
IND,16,2004,1380.90751997971,792813.4751569945,Karnataka
IND,16,2005,2245.7060249365786,1282953.2371159983,Karnataka
IND,16,2006,1130.4667321867855,639843.8408421617,Karnataka
IND,16,2007,4145.406390290022,2434636.707172027,Karnataka
IND,16,2008,2455.31276594416,1423284.5168051212,Karnataka
IND,16,2009,2285.720063387032,1393987.083211456,Karnataka
IND,16,2010,898.173849785976,570707.5516834001,Karnataka
IND,16,2011,1744.9294063215095,1031346.8821522496,Karnataka
IND,16,2012,2546.46171232206,1566950.4508697237,Karnataka
IND,16,2013,2118.7483445918892,1216246.7899914207,Karnataka
IND,16,2014,2229.815251102212,1316444.8092178078,Karnataka
IND,16,2015,1479.9073471151637,875964.2261306887,Karnataka
IND,16,2016,3310.4310827383674,2005666.3625930916,Karnataka
IND,16,2017,3060.364108854852,1881405.8043343092,Karnataka
IND,16,2018,3537.427542945288,2235428.3265559934,Karnataka
IND,16,2019,2411.557742359558,1556295.1973365524,Karnataka
IND,16,2020,2618.9902802118722,1734722.7822366715,Karnataka
IND,16,2021,2537.233677044441,1775310.166110288,Karnataka
IND,16,2022,2985.23931995625,2138063.4168992504,Karnataka
IND,16,2023,5020.889352382896,3808398.8616174185,Karnataka
IND,16,2024,3248.346527282504,2493198.3137337673,Karnataka
IND,16,2025,3546.9731996298906,2704717.1407216834,Karnataka
IND,17,2001,744.3184199823356,416151.4390715491,Kerala
IND,17,2002,1030.5991905045012,562233.9440577787,Kerala
IND,17,2003,1778.4504054765252,987308.0598334695,Kerala
IND,17,2004,1579.945850996441,896799.9813208154,Kerala
IND,17,2005,1458.1402092255553,839202.927511728,Kerala
IND,17,2006,1884.6052747713336,1082184.9316644047,Kerala
IND,17,2007,4344.389229525851,2555245.5659430935,Kerala
IND,17,2008,3075.660734225239,1807032.7034590724,Kerala
IND,17,2009,1047.924105367544,624823.6234494095,Kerala
IND,17,2010,204.09965080456217,119293.48673633963,Kerala
IND,17,2011,4909.495175878656,2959019.276745545,Kerala
IND,17,2012,3787.278384525888,2282394.8591334964,Kerala
IND,17,2013,2799.6632538021536,1679540.4991645457,Kerala
IND,17,2014,3822.628751460904,2303481.0529759726,Kerala
IND,17,2015,2709.8948796066593,1660107.0923740235,Kerala
IND,17,2016,7186.645522477656,4520748.220640965,Kerala
IND,17,2017,9722.051934830803,6124945.744496753,Kerala
IND,17,2018,6273.2135411400395,4048367.928925717,Kerala
IND,17,2019,7418.4261395583635,4784668.652502832,Kerala
IND,17,2020,6849.704708596054,4519698.787661154,Kerala
IND,17,2021,5298.669953080102,3499330.5232807803,Kerala
IND,17,2022,6467.641583770232,4298021.445080954,Kerala
IND,17,2023,12375.161009592712,8313222.2322511375,Kerala
IND,17,2024,10203.377861977822,6853258.990305417,Kerala
IND,17,2025,10172.63428965024,6886115.547634335,Kerala
IND,31,2001,2152.0486477834543,1308287.2260410949,Tamil Nadu
IND,31,2002,1177.0851483120623,492840.8138078136,Tamil Nadu
IND,31,2003,586.5690450619796,275243.8755017112,Tamil Nadu
IND,31,2004,1267.5839492774594,691573.5555159735,Tamil Nadu
IND,31,2005,986.3989606045145,494437.56640545645,Tamil Nadu
IND,31,2006,1675.0037910745318,911568.2764226577,Tamil Nadu
IND,31,2007,1769.0516643861251,928102.07497952,Tamil Nadu
IND,31,2008,1349.6418047447637,686274.6993339107,Tamil Nadu
IND,31,2009,466.83964180629664,226359.0891048292,Tamil Nadu
IND,31,2010,102.59162069533576,45315.3081589234,Tamil Nadu
IND,31,2011,1298.3095941094668,671902.6152115441,Tamil Nadu
IND,31,2012,1695.2576307322267,837193.1910252736,Tamil Nadu
IND,31,2013,642.7244944389287,351006.8549755368,Tamil Nadu
IND,31,2014,1022.7815916823068,541555.1690290878,Tamil Nadu
IND,31,2015,1022.1905111602008,562120.5950342547,Tamil Nadu
IND,31,2016,1340.8736793946573,766123.7279232369,Tamil Nadu
IND,31,2017,1581.9737924834208,894591.5978149875,Tamil Nadu
IND,31,2018,2026.5498937102047,1126718.261089813,Tamil Nadu
IND,31,2019,2063.931644558315,1178917.3286264532,Tamil Nadu
IND,31,2020,1291.3584474893787,756099.7632442194,Tamil Nadu
IND,31,2021,1255.8751499181558,964338.3852702269,Tamil Nadu
IND,31,2022,1100.458041229586,749551.229608422,Tamil Nadu
IND,31,2023,2187.3115721777526,1428715.6959693874,Tamil Nadu
IND,31,2024,3014.5132297654845,1740076.1832071044,Tamil Nadu
IND,31,2025,2413.125627966149,1520468.8173877683,Tamil Nadu
IND,10,2001,6.840546978715279,3898.5604974199887,Goa
IND,10,2002,5.200426087369792,2545.5739845479206,Goa
IND,10,2003,10.622793045837131,5614.7141071673,Goa
IND,10,2004,13.529992794208441,7237.682016626808,Goa
IND,10,2005,38.996461899468855,21617.72215614027,Goa
IND,10,2006,29.5766366941786,16552.359926161887,Goa
IND,10,2007,54.635165652629674,31204.987668316,Goa
IND,10,2008,69.56244274777237,39673.1328008229,Goa
IND,10,2009,61.766470900647775,36244.18514043732,Goa
IND,10,2010,5.2708685285611985,2649.1136908399053,Goa
