lag_years,spearman_rho,p_value,n
0,-0.11311091359130744,0.590347129221292,25
1,-0.15804232207105431,0.46077661945575266,24
2,-0.17495428320673967,0.42461100951374786,23
3,0.09590195217716131,0.6711691145908734,22
4,-0.13049301176436695,0.5728922938791887,21
5,-0.3532334195460709,0.12657903752303282,20
