state,total_loss_ha,mean_annual_loss_ha,max_annual_loss_ha,total_emissions_Mg,loss_per_1000km2,pressure_index
Kerala,117144.62006082817,4685.784802433127,12375.161009592712,74623197.51622128,3018.821791823773,1.0
Karnataka,60925.601218008815,2437.0240487203528,5020.889352382896,39234276.36468023,317.7463193199397,0.4090965082767248
Tamil Nadu,35490.04917456276,1419.6019669825102,3014.5132297654845,20149381.900689207,272.5742990700202,0.23134949029069915
Maharashtra,23312.5650681599,932.502602726396,2021.6534890908276,11357397.845413337,75.82739549732118,0.13254031364040844
Goa,990.9319271295698,39.63727708518279,112.4449402299414,557532.916758722,273.1922577233332,0.016765650528622292
